Name	Address	Phone	County	Gender	Beds	Chapter	Re-entry
Abba	123 SW. Fillmore St. , Topeka, KS 66606	(785) 329-5524	Shawnee	MC	8	2	No
Alden 	12317 S Alden St, Olathe, KS 66062	(913) 712-8286	Johnson	W	8	10	Yes
Alpha Kainos	1818 N. Main, Hutchinson, KS 67502	(620) 259-7809	Reno	M	10	13	No
Amaryllis West	204 E. 28th St. , Hays, KS 67601	(785) 621-4829	Ellis	W	9	20	No
Ambition 2	2813 SW. Engler Ct., Topeka , KS 66614	(785) 329-5512	Shawnee	M	6	19	No
Ananeosi	2429 Robin Rd, Salina, KS 67401	(785) 404-1034	Saline	M	10	11	No
Arella	1276 SW. College, Topeka, Kansas 		Shawnee	W	8		
Arrowhead	1920 E. 151st Ter., Olathe, KS 66062	(913) 730-7199	Johnson	M	9	15	No
Ash	301 N. Ash St. , Wichita, KS 67214	(316) 295-4840	Sedgwick	M	14	8	No
Astrid	829 Pine Ct, McPherson, KS 67460	(620) 718-2041	Mcpherson	W	6	24	
Atwood Cove	3513 SW Atwood Ave, Topeka, KS 66614	(785) 329-5336	Shawnee	M	8		
Auora	1319 N 69th St, Kansas City, KS 66102	(913) 232-8040	Wyandotte	W	6	9	
Autumn	10420 W. 93rd Ter., Overland Park, KS 66214	(816) 514-8408	Johnson	M	9	9	No
Auxilium	726 W 10th St, Junction City, KS 66441	(785) 390-0101	Geary	M	7	11	
Avyanna	540 W 12th St, Junction City, KS 66441	(785) 390-0290	Geary	W	9	11	
Barnes	704 S. Barlow St., Wichita, KS 67207	(316) 260-8246	Sedgwick	W	9	3	No
Barton	3713 23rd St. , Great Bend, KS 67530	(620) 603-6090	Barton	M	9	16	No
Bass	410 S. Duncan St., Newton, KS 67114	(316) 333-8055	Harvey	M	9	7	No
Bekemeyer	8909 Bekemeyer St. , Wichita, KS 67212	(316) 796-5153	Sedgwick	M	8	8	No
Bella Vita	1600 NW. Taylor St., Topeka, KS 66608	(785) 783-2883	Shawnee	W	8	14	No
Bellator 2	720 SW. 12th St., Topeka, KS 66612	(785) 329-5631	Shawnee	M	13	19	No
Bellatrix	903 SW Mifflin Rd, Topeka, KS 66606	(785) 200-3239	Shawnee	W	9		
Belle Star	907 5th Ave. , Dodge City, KS 67801	(620) 371-6254	Ford	M	6	6	No
Belle West	5537 SW. 27th St., Topeka , KS 66614	(785) 730-2368	Shawnee	M	8	14	No
Beverly Ave. 	205 N. Beverly Ave. , Newton, KS 67114	(316) 333-8116	Harvey	M	8	7	No
Blackfoot	600 W. Elm St. , Olathe, KS 66061	(816) 603-0588	Johnson	M	8	4	No
Blue Bell			Ford			6	Yes
Blue Sage	1515 S. Blue Sage Cir., Wichita, KS 67230	(316) 831-7584	Sedgwick	M	8	7	No
Boot Hill	807 1st Ave. , Dodge City, KS 67801	(620) 253-7420	Ford	M	9	6	No
Braeburn	1739 N. Harvard Ave. , Wichita, KS 67208	(316) 425-7510	Sedgwick	M	8	3	No
Broughham	1317 E. Sheridan Bridge Ln., Olathe, KS 66062	(913) 839-3055	Johnson	W	8	15	No
Bryant	1428 E. Sunvale Dr., Olathe, KS 66062	(913) 839-2494	Johnson	WC	9	1	No
Buchanan	501 SW. Buchanan St., Topeka, KS 66606	(785) 329-5324	Shawnee	MC	10	2	No
Butterfly	2133 S 29th St, Kansas City, KS 66106	(913) 232-8281	Wyandotte	W	9	1	
Canaan	3121 Canaan Valley Dr. , Kansas City, KS 66109	(913) 721-5529	Wyandotte	M	10	9	No
